,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Gabriel Abdias,br BRA,DF,Botafogo–RJ,18,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,ca540bc9
2,Abner,br BRA,DF,Juventude,20,2004,19,1318,69,38.5,14.6,13,85,10,6,35,12,1.11,15,28,-13,-0.89,+0.01,Matches,6c0ef11c
3,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,32,1690,53,49.4,18.8,18,76,6,14,23,5,1.72,26,23,+3,+0.16,+0.11,Matches,6140be7b
4,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,16,1199,75,35.1,13.3,15,77,0,1,49,1,1.88,19,10,+9,+0.68,+0.59,Matches,363ba6d7
5,Adriel,br BRA,MF,Sport Recife,18,2006,5,148,30,4.3,1.6,1,45,0,4,26,6,0.00,0,5,-5,-3.04,-1.89,Matches,959e965c
6,Adson,br BRA,MF,Vasco da Gama,24,2000,10,210,21,6.1,2.3,0,,0,10,21,0,1.20,3,5,-2,-0.86,-0.77,Matches,eda38706
7,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,30,2389,80,69.9,26.5,28,83,22,2,28,2,1.27,30,44,-14,-0.53,-0.61,Matches,74b396d8
8,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,9,330,37,9.6,3.7,4,58,0,5,20,1,0.22,1,9,-8,-2.18,-1.05,Matches,08f48d96
9,Yuri Alberto,br BRA,FW,Corinthians,23,2001,26,2005,77,58.6,22.3,21,87,14,5,38,0,1.35,26,30,-4,-0.18,-0.12,Matches,65159211
10,José Aldo,br BRA,MF,Mirassol,26,1998,30,1369,46,40.0,15.2,15,71,2,15,20,7,1.63,28,15,+13,+0.85,+0.37,Matches,2f90595a
11,João Alencar,br BRA,DF,Santos,17,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,0fd7d99f
12,Alesson,br BRA,FWMF,Mirassol,25,1999,26,1456,56,42.6,16.2,16,72,1,10,31,0,1.81,33,16,+17,+1.05,+0.73,Matches,611e984e
13,Caio Alexandre,br BRA,MF,Bahia,25,1999,21,1303,62,38.1,14.5,17,72,3,4,20,2,1.76,16,15,+1,+0.07,-0.06,Matches,08ac23b7
14,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,26,1779,68,52.0,19.8,20,81,14,6,27,5,0.50,17,43,-26,-1.32,-0.16,Matches,0212e748
15,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,14,828,59,24.2,9.2,8,75,1,6,38,2,1.21,14,11,+3,+0.33,+0.46,Matches,b13e7a78
16,Alisson,br BRA,MF,São Paulo,31,1993,31,1960,63,57.3,21.8,21,80,12,10,28,1,1.23,19,25,-6,-0.28,-0.40,Matches,99139fa4
