,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Abner,br BRA,DF,Juventude,20,2004,14.6,0,3,1,33.3,0.20,0.07,0.00,0.00,0,0,Matches,6c0ef11c
2,Nicolás Acevedo,uy URU,MF,Bahia,25,1999,18.8,0,20,9,45.0,1.07,0.48,0.00,0.00,0,0,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,30,1994,13.3,3,22,8,36.4,1.65,0.60,0.14,0.38,0,0,Matches,363ba6d7
4,Adriel,br BRA,MF,Sport Recife,18,2006,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,Matches,959e965c
5,Adson,br BRA,MF,Vasco da Gama,24,2000,2.3,0,3,2,66.7,1.29,0.86,0.00,0.00,0,0,Matches,eda38706
6,Braian Aguirre,ar ARG,DFMF,Internacional,24,2000,26.5,1,24,3,12.5,0.90,0.11,0.04,0.33,0,0,Matches,74b396d8
7,Carlos Alberto,br BRA,MFFW,Sport Recife,22,2002,3.7,0,3,2,66.7,0.82,0.55,0.00,0.00,0,0,Matches,08f48d96
8,Yuri Alberto,br BRA,FW,Corinthians,23,2001,22.3,10,64,22,34.4,2.87,0.99,0.16,0.45,2,3,Matches,65159211
9,José Aldo,br BRA,MF,Mirassol,26,1998,15.2,0,21,7,33.3,1.38,0.46,0.00,0.00,0,0,Matches,2f90595a
10,Alesson,br BRA,FWMF,Mirassol,25,1999,16.2,6,30,12,40.0,1.85,0.74,0.20,0.50,0,0,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,25,1999,14.5,0,10,1,10.0,0.69,0.07,0.00,0.00,0,0,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Sport Recife,25,1999,19.8,0,9,2,22.2,0.46,0.10,0.00,0.00,0,0,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,21,2003,9.2,1,13,4,30.8,1.41,0.43,0.08,0.25,0,0,Matches,b13e7a78
14,Alisson,br BRA,MF,São Paulo,31,1993,21.8,0,18,7,38.9,0.83,0.32,0.00,0.00,0,0,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,20,2004,10.2,2,26,9,34.6,2.54,0.88,0.08,0.22,0,0,Matches,aae04867
16,Allan,br BRA,MF,Botafogo–RJ,34,1991,10.7,0,3,1,33.3,0.28,0.09,0.00,0.00,0,0,Matches,cc700722
17,Allan,br BRA,MF,Flamengo,27,1997,7.6,0,5,1,20.0,0.66,0.13,0.00,0.00,0,0,Matches,b15e93aa
18,Allanzinho,br BRA,MF,Fortaleza,24,2000,3.2,0,7,0,0.0,2.20,0.00,0.00,,0,0,Matches,21e7822d
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,31,1993,29.0,1,15,4,26.7,0.52,0.14,0.07,0.25,0,0,Matches,b18a3023
20,Dyogo Alves,br BRA,GK,Flamengo,21,2004,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,be620844
21,Matheus Alves,br BRA,MF,São Paulo,19,2005,4.1,0,7,0,0.0,1.70,0.00,0.00,,0,0,Matches,177f810f
22,Alysson,br BRA,MFFW,Grêmio,18,2006,19.1,1,40,13,32.5,2.10,0.68,0.03,0.08,0,0,Matches,99b63a82
23,Francis Amuzu,be BEL,MF,Grêmio,25,1999,12.7,4,43,17,39.5,3.38,1.34,0.09,0.24,0,0,Matches,4f0fbd15
24,Felipe Anderson,br BRA,MF,Palmeiras,31,1993,19.7,4,37,11,29.7,1.88,0.56,0.11,0.36,0,0,Matches,9f1893b9
25,Kervin Andrade,ve VEN,MF,Fortaleza,19,2005,1.8,0,4,2,50.0,2.21,1.10,0.00,0.00,0,0,Matches,4d3dafbc
26,André,br BRA,MF,Corinthians,18,2006,3.5,2,5,2,40.0,1.43,0.57,0.40,1.00,0,0,Matches,867660e8
27,José Andrés Martínez,ve VEN,MF,Corinthians,30,1994,15.5,1,13,4,30.8,0.84,0.26,0.08,0.25,0,0,Matches,c8364e8e
28,Wilker Ángel,ve VEN,DF,Juventude,31,1993,15.8,1,11,6,54.5,0.70,0.38,0.09,0.17,0,0,Matches,1155a7ba
29,Fabrizio Angileri,ar ARG,DF,Corinthians,30,1994,18.2,0,6,1,16.7,0.33,0.05,0.00,0.00,0,0,Matches,fdd26d71
30,Anthoni,br BRA,GK,Internacional,23,2002,17.0,0,0,0,,0.00,0.00,,,0,0,Matches,a0b17b31
31,Marcos Antônio,br BRA,MF,São Paulo,24,2000,21.1,0,16,3,18.8,0.76,0.14,0.00,0.00,0,0,Matches,108fe016
32,Léo Aragão,br BRA,GK,Cruzeiro,22,2002,3.7,0,0,0,,0.00,0.00,,,0,0,Matches,47e05bd9
33,Guilherme Arana,br BRA,DFMF,Atlético Mineiro,27,1997,19.4,1,37,10,27.0,1.91,0.51,0.03,0.10,0,0,Matches,2b15a82a
34,Willian Arão,br BRA,MF,Santos,32,1992,8.7,0,8,1,12.5,0.92,0.12,0.00,0.00,0,0,Matches,f47a530a
35,Luiz Araújo,br BRA,MF,Flamengo,28,1996,19.6,7,45,18,40.0,2.29,0.92,0.16,0.39,0,0,Matches,fa18c72e
36,Matheus Araújo,br BRA,MF,Ceará,22,2002,3.0,1,4,2,50.0,1.33,0.67,0.25,0.50,0,0,Matches,2b0a4a75
37,Michel Araujo,uy URU,MF,Bahia,28,1996,9.5,4,19,6,31.6,2.01,0.63,0.21,0.67,0,0,Matches,1159e4ae
38,Alexander Aravena,cl CHI,MF,Grêmio,22,2002,6.5,3,18,6,33.3,2.79,0.93,0.17,0.50,0,0,Matches,4535ab5d
39,Robert Arboleda,ec ECU,DF,São Paulo,33,1991,22.9,3,13,4,30.8,0.57,0.18,0.23,0.75,0,0,Matches,269dbfc6
40,Lucas Arcanjo,br BRA,GK,Vitória,26,1998,28.3,0,0,0,,0.00,0.00,,,0,0,Matches,21803aa2
41,Matias Arezo,uy URU,FW,Grêmio,22,2002,3.0,1,9,4,44.4,3.02,1.34,0.11,0.25,0,0,Matches,484ebdb0
42,Jhon Arias,co COL,MFFW,Fluminense,27,1997,12.0,1,18,5,27.8,1.50,0.42,0.06,0.20,1,1,Matches,86d96066
43,Santiago Arias,co COL,DF,Bahia,33,1992,15.8,0,11,3,27.3,0.70,0.19,0.00,0.00,0,0,Matches,fdd60087
44,Giorgian de Arrascaeta,uy URU,MF,Flamengo,30,1994,26.1,18,77,24,31.2,2.95,0.92,0.23,0.75,2,3,Matches,be8d02dd
45,Keny Arroyo,ec ECU,MF,Cruzeiro,18,2006,7.2,2,20,11,55.0,2.79,1.53,0.10,0.18,0,0,Matches,a9c426f6
46,Arthur,br BRA,FW,Sport Recife,21,2003,2.2,0,4,0,0.0,1.80,0.00,0.00,,0,0,Matches,e93fed32
47,Artur,br BRA,MF,Botafogo–RJ,26,1998,21.3,5,46,17,37.0,2.16,0.80,0.11,0.29,0,0,Matches,105132cd
48,Rodrigo Atencio,ar ARG,MF,Sport Recife,22,2002,6.0,0,19,5,26.3,3.14,0.83,0.00,0.00,0,0,Matches,5540acb4
49,Loide Augusto,ao ANG,MF,Vasco da Gama,24,2000,2.1,0,6,2,33.3,2.81,0.94,0.00,0.00,0,0,Matches,aea6ca59
50,Leo Augusto Pereira,br BRA,FWMF,Vitória,24,2000,1.8,0,4,1,25.0,2.17,0.54,0.00,0.00,0,0,Matches,a3818875
51,Leo Augusto Pereira,br BRA,MFFW,Sport Recife,24,2000,12.3,3,40,13,32.5,3.25,1.06,0.08,0.23,0,0,Matches,a3818875
52,Renato Augusto,br BRA,MF,Fluminense,36,1988,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,83a6367a
53,Gastón Ávila,ar ARG,DF,Fortaleza,23,2001,25.8,0,19,7,36.8,0.74,0.27,0.00,0.00,0,0,Matches,f648b2e1
54,Aylon,br BRA,MFFW,Ceará,32,1992,8.8,2,21,7,33.3,2.39,0.80,0.10,0.29,0,0,Matches,a87daabb
55,Matheus Babi,br BRA,FW,Juventude,27,1997,5.3,2,13,3,23.1,2.45,0.56,0.15,0.67,0,0,Matches,f48cff2c
56,Bahia,br BRA,MF,Corinthians,19,2006,0.5,0,1,0,0.0,1.84,0.00,0.00,,0,0,Matches,a4b1b158
57,Gabriel Bahia,br BRA,DF,Botafogo–RJ,26,1998,2.6,0,2,0,0.0,0.76,0.00,0.00,,0,0,Matches,af54b2db
58,Matheus Bahia,br BRA,DF,Ceará,25,1999,27.4,0,14,3,21.4,0.51,0.11,0.00,0.00,0,0,Matches,33e3c4e5
59,Fabián Balbuena,py PAR,DF,Grêmio,33,1991,2.5,1,1,1,100.0,0.40,0.40,1.00,1.00,0,0,Matches,3626f7d9
60,Gabriel Baralhas,br BRA,MF,Vitória,26,1998,25.3,2,32,10,31.3,1.27,0.40,0.06,0.20,0,0,Matches,b7838aad
61,Danilo Barbosa,br BRA,DFMF,Botafogo–RJ,28,1996,0.4,0,1,1,100.0,2.31,2.31,0.00,0.00,0,0,Matches,0557ff4f
62,Diogo Barbosa,br BRA,DF,Fortaleza,32,1992,13.8,1,7,1,14.3,0.51,0.07,0.14,1.00,0,0,Matches,7b9ef26b
63,Gabriel Barbosa,br BRA,FWMF,Cruzeiro,28,1996,12.0,6,47,20,42.6,3.91,1.66,0.13,0.30,1,2,Matches,72d0e1b6
64,Lucas Barbosa,br BRA,MF,RB Bragantino,23,2001,25.9,4,49,18,36.7,1.89,0.70,0.08,0.22,0,0,Matches,a28eac7e
65,Alexander Barboza,ar ARG,DF,Botafogo–RJ,29,1995,23.9,0,23,5,21.7,0.96,0.21,0.00,0.00,0,0,Matches,b1805c80
66,Adam Bareiro,py PAR,FW,Fortaleza,28,1996,9.8,7,28,19,67.9,2.84,1.93,0.25,0.37,1,2,Matches,afb7f0ea
67,Chrystian Barletta,br BRA,MF,Sport Recife,23,2001,16.7,2,48,20,41.7,2.88,1.20,0.04,0.10,0,0,Matches,d594cf58
68,Álvaro Barreal,ar ARG,MFFW,Santos,24,2000,24.9,9,56,20,35.7,2.25,0.80,0.16,0.45,1,1,Matches,ffca53e1
69,Jordan Barrera,co COL,MF,Botafogo–RJ,18,2006,3.4,1,8,3,37.5,2.35,0.88,0.13,0.33,0,0,Matches,abe7a9c6
70,Kadir Barría,pa PAN,FW,Botafogo–RJ,17,2007,1.9,2,4,2,50.0,2.07,1.03,0.50,1.00,0,0,Matches,b594dfe1
71,Cauan Barros,br BRA,MF,Vasco da Gama,20,2004,14.9,1,13,5,38.5,0.87,0.34,0.08,0.20,0,0,Matches,6ae4627b
72,Enmerson Batalla,co COL,MFFW,Juventude,23,2001,14.6,4,25,12,48.0,1.71,0.82,0.16,0.33,0,0,Matches,2ca7201b
73,Paulo Baya,br BRA,MFFW,Ceará,25,1999,4.8,0,13,5,38.5,2.68,1.03,0.00,0.00,0,0,Matches,879d5577
74,Paulo Baya,br BRA,MF,Fluminense,25,1999,0.4,1,2,2,100.0,4.74,4.74,0.50,0.50,0,0,Matches,879d5577
75,Erick Belé,br BRA,MF,Palmeiras,18,2007,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,7d96f93b
76,Luis Benedetti,br BRA,DF,Palmeiras,18,2006,4.2,1,4,1,25.0,0.95,0.24,0.25,1.00,0,0,Matches,3690d4f3
77,Alan Benítez,py PAR,DFMF,Internacional,31,1994,6.1,0,4,3,75.0,0.65,0.49,0.00,0.00,0,0,Matches,5c7c798b
78,Alexandro Bernabei,ar ARG,DFMF,Internacional,24,2000,28.7,0,37,12,32.4,1.29,0.42,0.00,0.00,0,0,Matches,67b09a18
79,Facundo Bernal,uy URU,MF,Fluminense,21,2003,11.5,0,15,4,26.7,1.30,0.35,0.00,0.00,0,0,Matches,ca34fa2e
80,Bernard,br BRA,MFFW,Atlético Mineiro,32,1992,13.4,1,16,5,31.3,1.19,0.37,0.06,0.20,0,0,Matches,ab4b3e35
81,Bernardo,br BRA,DF,Juventude,19,2005,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,dcd5858f
82,Matheus Bianqui,br BRA,MF,Mirassol,27,1998,1.6,0,9,2,22.2,5.51,1.22,0.00,0.00,0,0,Matches,9da67b35
83,Matheus Bidu,br BRA,DFMF,Corinthians,25,1999,21.8,0,19,5,26.3,0.87,0.23,0.00,0.00,0,0,Matches,b8a72293
84,Biel,br BRA,MFFW,Atlético Mineiro,23,2001,6.6,1,17,4,23.5,2.57,0.61,0.06,0.25,0,0,Matches,1cb046cd
85,Rafael Bilu,br BRA,MFFW,Juventude,25,1999,7.6,1,10,4,40.0,1.31,0.52,0.10,0.25,0,0,Matches,26880429
86,Damián Bobadilla,py PAR,MF,São Paulo,23,2001,23.3,4,33,13,39.4,1.41,0.56,0.12,0.31,0,0,Matches,ad7d6437
87,Yannick Bolasie,cd COD,FWMF,Cruzeiro,35,1989,2.0,0,6,1,16.7,3.05,0.51,0.00,0.00,0,0,Matches,715fc0fe
88,Gabriel Bontempo,br BRA,MF,Santos,20,2005,11.1,2,10,3,30.0,0.90,0.27,0.20,0.67,0,0,Matches,3f384407
89,Thiago Borbas,uy URU,FW,RB Bragantino,22,2002,6.4,1,12,4,33.3,1.86,0.62,0.08,0.25,0,0,Matches,04f9c45f
90,Daniel Borges,br BRA,DF,Mirassol,31,1993,10.0,2,9,4,44.4,0.90,0.40,0.22,0.50,0,0,Matches,71879f82
91,Marllon Borges,br BRA,DF,Ceará,32,1992,23.1,2,8,2,25.0,0.35,0.09,0.25,1.00,0,0,Matches,d0b29bbd
