,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
Atlético Mineiro,34,38.0,,361,,,,,,,,,,,359,,,
Bahia,30,38.0,,383,,,,,,,,,,,277,,,
Botafogo–RJ,41,38.0,,380,,,,,,,,,,,294,,,
Ceará,33,38.0,,378,,,,,,,,,,,265,,,
Corinthians,35,38.0,,400,,,,,,,,,,,288,,,
Cruzeiro,37,38.0,,394,,,,,,,,,,,327,,,
Flamengo,43,38.0,,380,,,,,,,,,,,264,,,
Fluminense,36,38.0,,364,,,,,,,,,,,238,,,
Fortaleza,44,38.0,,416,,,,,,,,,,,327,,,
Grêmio,39,38.0,,428,,,,,,,,,,,342,,,
Internacional,39,38.0,,439,,,,,,,,,,,311,,,
Juventude,45,38.0,,371,,,,,,,,,,,314,,,
Mirassol,34,38.0,,371,,,,,,,,,,,318,,,
Palmeiras,38,38.0,,405,,,,,,,,,,,281,,,
RB Bragantino,31,38.0,,377,,,,,,,,,,,293,,,
Santos,40,38.0,,424,,,,,,,,,,,348,,,
São Paulo,40,38.0,,411,,,,,,,,,,,313,,,
Sport Recife,43,38.0,,359,,,,,,,,,,,346,,,
Vasco da Gama,39,38.0,,333,,,,,,,,,,,312,,,
Vitória,40,38.0,,368,,,,,,,,,,,275,,,
