,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Atlético Mineiro,34,38.0,,,,,,,,,,,,,,,,
Bahia,30,38.0,,,,,,,,,,,,,,,,
Botafogo–RJ,41,38.0,,,,,,,,,,,,,,,,
Ceará,33,38.0,,,,,,,,,,,,,,,,
Corinthians,35,38.0,,,,,,,,,,,,,,,,
Cruzeiro,37,38.0,,,,,,,,,,,,,,,,
Flamengo,43,38.0,,,,,,,,,,,,,,,,
Fluminense,36,38.0,,,,,,,,,,,,,,,,
Fortaleza,44,38.0,,,,,,,,,,,,,,,,
Grêmio,39,38.0,,,,,,,,,,,,,,,,
Internacional,39,38.0,,,,,,,,,,,,,,,,
Juventude,45,38.0,,,,,,,,,,,,,,,,
Mirassol,34,38.0,,,,,,,,,,,,,,,,
Palmeiras,38,38.0,,,,,,,,,,,,,,,,
RB Bragantino,31,38.0,,,,,,,,,,,,,,,,
Santos,40,38.0,,,,,,,,,,,,,,,,
São Paulo,40,38.0,,,,,,,,,,,,,,,,
Sport Recife,43,38.0,,,,,,,,,,,,,,,,
Vasco da Gama,39,38.0,,,,,,,,,,,,,,,,
Vitória,40,38.0,,,,,,,,,,,,,,,,
