,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG
Atlético Mineiro,34,38.0,93,8,2,501,473,66,695,359,361,1,4,1
Bahia,30,38.0,85,6,3,466,499,45,645,277,383,6,5,2
Botafogo–RJ,41,38.0,93,5,1,557,396,49,687,294,380,3,3,0
Ceará,33,38.0,84,2,0,518,509,87,753,265,378,1,3,1
Corinthians,35,38.0,108,5,2,536,617,59,695,288,400,4,9,0
Cruzeiro,37,38.0,107,5,2,531,512,57,745,327,394,4,2,0
Flamengo,43,38.0,80,5,1,516,470,42,740,264,380,6,4,0
Fluminense,36,38.0,76,3,1,488,537,33,612,238,364,4,2,1
Fortaleza,44,38.0,110,9,2,528,463,74,751,327,416,3,7,2
Grêmio,39,38.0,104,5,1,500,557,39,640,342,428,8,10,0
Internacional,39,38.0,85,7,2,583,438,67,691,311,439,6,2,3
Juventude,45,38.0,108,5,2,606,531,66,663,314,371,1,8,1
Mirassol,34,38.0,84,1,0,465,524,70,770,318,371,6,5,0
Palmeiras,38,38.0,74,5,0,539,535,68,781,281,405,5,7,1
RB Bragantino,31,38.0,111,3,1,544,473,55,669,293,377,4,3,1
Santos,40,38.0,98,4,3,524,536,63,751,348,424,5,7,1
São Paulo,40,38.0,96,2,0,550,514,48,648,313,411,5,11,2
Sport Recife,43,38.0,96,3,2,518,450,68,713,346,359,1,8,3
Vasco da Gama,39,38.0,77,7,2,504,442,29,753,312,333,2,4,5
Vitória,40,38.0,112,7,3,569,517,64,745,275,368,2,5,0
