,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA
Atlético Mineiro,34,38.0,,,,,,,,,,,,,,,27,,,,,
Bahia,30,38.0,,,,,,,,,,,,,,,36,,,,,
Botafogo–RJ,41,38.0,,,,,,,,,,,,,,,42,,,,,
Ceará,33,38.0,,,,,,,,,,,,,,,25,,,,,
Corinthians,35,38.0,,,,,,,,,,,,,,,25,,,,,
Cruzeiro,37,38.0,,,,,,,,,,,,,,,41,,,,,
Flamengo,43,38.0,,,,,,,,,,,,,,,58,,,,,
Fluminense,36,38.0,,,,,,,,,,,,,,,27,,,,,
Fortaleza,44,38.0,,,,,,,,,,,,,,,33,,,,,
Grêmio,39,38.0,,,,,,,,,,,,,,,29,,,,,
Internacional,39,38.0,,,,,,,,,,,,,,,27,,,,,
Juventude,45,38.0,,,,,,,,,,,,,,,29,,,,,
Mirassol,34,38.0,,,,,,,,,,,,,,,40,,,,,
Palmeiras,38,38.0,,,,,,,,,,,,,,,44,,,,,
RB Bragantino,31,38.0,,,,,,,,,,,,,,,30,,,,,
Santos,40,38.0,,,,,,,,,,,,,,,26,,,,,
São Paulo,40,38.0,,,,,,,,,,,,,,,33,,,,,
Sport Recife,43,38.0,,,,,,,,,,,,,,,15,,,,,
Vasco da Gama,39,38.0,,,,,,,,,,,,,,,38,,,,,
Vitória,40,38.0,,,,,,,,,,,,,,,24,,,,,
