,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90
Atlético Mineiro,34,29.0,38,3420,90,100,38.0,418,80,233,179,24,268,1.26,43,44,-1,-0.03
Bahia,30,27.6,38,3420,90,100,38.0,418,79,226,189,24,265,1.58,50,46,+4,+0.11
Botafogo–RJ,41,26.7,38,3420,90,100,38.0,418,81,241,174,22,268,1.66,58,38,+20,+0.53
Ceará,33,28.6,38,3420,90,100,38.0,418,81,228,190,18,259,1.13,34,40,-6,-0.16
Corinthians,35,26.6,38,3420,90,100,38.0,418,81,242,177,21,277,1.24,42,47,-5,-0.13
Cruzeiro,37,28.5,38,3420,90,100,38.0,418,83,252,164,16,291,1.84,55,31,+24,+0.63
Flamengo,43,28.7,38,3420,90,100,38.0,418,80,237,180,23,272,2.08,78,27,+51,+1.34
Fluminense,36,30.5,38,3420,90,100,38.0,418,81,233,183,20,272,1.68,50,39,+11,+0.29
Fortaleza,44,29.2,38,3420,90,100,38.0,418,80,229,186,22,264,1.13,43,58,-15,-0.39
Grêmio,39,28.1,38,3420,90,100,38.0,418,79,229,187,24,267,1.29,47,50,-3,-0.08
Internacional,39,27.2,38,3420,90,100,38.0,418,79,239,179,25,277,1.16,44,57,-13,-0.34
Juventude,45,28.5,38,3420,90,100,38.0,418,78,226,188,25,264,0.92,35,69,-34,-0.89
Mirassol,34,29.6,38,3420,90,100,38.0,418,80,227,190,22,260,1.76,63,39,+24,+0.63
Palmeiras,38,26.2,38,3420,90,100,38.0,418,80,230,184,23,257,2.00,66,33,+33,+0.87
RB Bragantino,31,25.8,38,3420,90,100,38.0,418,79,228,190,23,264,1.26,45,57,-12,-0.32
Santos,40,27.7,38,3420,90,100,38.0,418,80,229,187,21,264,1.24,45,50,-5,-0.13
São Paulo,40,28.4,38,3420,90,100,38.0,418,80,247,171,23,275,1.34,43,47,-4,-0.11
Sport Recife,43,28.3,38,3420,90,100,38.0,418,79,232,185,23,257,0.45,28,75,-47,-1.24
Vasco da Gama,39,27.0,38,3420,90,100,38.0,418,82,238,176,18,280,1.18,55,60,-5,-0.13
Vitória,40,27.6,38,3420,90,100,38.0,418,80,239,179,23,272,1.18,35,52,-17,-0.45
