,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Atlético Mineiro,34,38.0,40,572,168,29.4,15.05,4.42,0.07,0.24,1,1
Bahia,30,38.0,48,523,169,32.3,13.76,4.45,0.09,0.28,4,6
Botafogo–RJ,41,38.0,57,540,186,34.4,14.21,4.89,0.11,0.31,4,4
Ceará,33,38.0,33,448,150,33.5,11.79,3.95,0.07,0.22,1,2
Corinthians,35,38.0,40,430,127,29.5,11.32,3.34,0.09,0.31,4,6
Cruzeiro,37,38.0,53,510,178,34.9,13.42,4.68,0.10,0.30,2,4
Flamengo,43,38.0,78,578,196,33.9,15.21,5.16,0.13,0.40,7,9
Fluminense,36,38.0,49,462,146,31.6,12.16,3.84,0.11,0.34,4,5
Fortaleza,44,38.0,43,487,152,31.2,12.82,4.00,0.09,0.28,4,6
Grêmio,39,38.0,46,456,160,35.1,12.00,4.21,0.10,0.29,10,10
Internacional,39,38.0,44,507,162,32.0,13.34,4.26,0.09,0.27,9,10
Juventude,45,38.0,34,414,132,31.9,10.89,3.47,0.08,0.26,2,3
Mirassol,34,38.0,61,519,177,34.1,13.66,4.66,0.12,0.34,7,8
Palmeiras,38,38.0,65,580,201,34.7,15.26,5.29,0.11,0.32,6,7
RB Bragantino,31,38.0,45,465,146,31.4,12.24,3.84,0.10,0.31,6,6
Santos,40,38.0,42,497,145,29.2,13.08,3.82,0.08,0.29,6,6
São Paulo,40,38.0,43,445,132,29.7,11.71,3.47,0.10,0.33,3,6
Sport Recife,43,38.0,26,468,138,29.5,12.32,3.63,0.06,0.19,2,2
Vasco da Gama,39,38.0,54,475,168,35.4,12.50,4.42,0.11,0.32,5,5
Vitória,40,38.0,34,438,143,32.6,11.53,3.76,0.08,0.24,3,3
