;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;
Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Atlético Mineiro;34;29;53,9;38;418;3.420;38;40;27;67;39;1;1;93;8;1,05;0,71;1,76;1,03;1,74
Bahia;30;27,6;54,9;38;418;3.420;38;48;36;84;44;4;6;85;6;1,26;0,95;2,21;1,16;2,11
Botafogo–RJ;41;26,7;51,7;38;418;3.420;38;57;42;99;53;4;4;93;5;1,5;1,11;2,61;1,39;2,5
Ceará;33;28,6;42,4;38;418;3.420;38;33;25;58;32;1;2;84;2;0,87;0,66;1,53;0,84;1,5
Corinthians;35;26,6;55,7;38;418;3.420;38;40;25;65;36;4;6;108;5;1,05;0,66;1,71;0,95;1,61
Cruzeiro;37;28,5;47,9;38;418;3.420;38;53;41;94;51;2;4;107;5;1,39;1,08;2,47;1,34;2,42
Flamengo;43;28,7;61,6;38;418;3.420;38;78;58;136;71;7;9;80;5;2,05;1,53;3,58;1,87;3,39
Fluminense;36;30,5;52,9;38;418;3.420;38;49;27;76;45;4;5;76;3;1,29;0,71;2;1,18;1,89
Fortaleza;44;29,2;44,4;38;418;3.420;38;43;33;76;39;4;6;110;9;1,13;0,87;2;1,03;1,89
Grêmio;39;28,1;45,3;38;418;3.420;38;46;29;75;36;10;10;104;5;1,21;0,76;1,97;0,95;1,71
Internacional;39;27,2;51,1;38;418;3.420;38;44;27;71;35;9;10;85;7;1,16;0,71;1,87;0,92;1,63
Juventude;45;28,5;43,2;38;418;3.420;38;34;29;63;32;2;3;108;5;0,89;0,76;1,66;0,84;1,61
Mirassol;34;29,6;51;38;418;3.420;38;61;40;101;54;7;8;84;1;1,61;1,05;2,66;1,42;2,47
Palmeiras;38;26,2;52,4;38;418;3.420;38;65;44;109;59;6;7;74;5;1,71;1,16;2,87;1,55;2,71
RB Bragantino;31;25,8;47,7;38;418;3.420;38;45;30;75;39;6;6;111;3;1,18;0,79;1,97;1,03;1,82
Santos;40;27,7;49,6;38;418;3.420;38;42;26;68;36;6;6;98;4;1,11;0,68;1,79;0,95;1,63
São Paulo;40;28,4;52,1;38;418;3.420;38;43;33;76;40;3;6;96;2;1,13;0,87;2;1,05;1,92
Sport Recife;43;28,3;46,4;38;418;3.420;38;26;15;41;24;2;2;96;3;0,68;0,39;1,08;0,63;1,03
Vasco da Gama;39;27;54,2;38;418;3.420;38;54;38;92;49;5;5;77;7;1,42;1;2,42;1,29;2,29
Vitória;40;27,6;41,6;38;418;3.420;38;34;24;58;31;3;3;112;7;0,89;0,63;1,53;0,82;1,45
